condition,sigma,acc_mean,acc_std,f1_mean,f1_std,auc_mean,auc_std
both,0.00,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
both,0.05,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
both,0.10,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
both,0.20,0.9388,0.0289,0.9364,0.0294,1.0000,0.0000
both,0.30,0.7388,0.0351,0.7385,0.0350,0.9875,0.0065
both,0.50,0.4939,0.0569,0.4619,0.0717,0.8624,0.0384
cnn_only,0.00,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
cnn_only,0.05,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
cnn_only,0.10,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
cnn_only,0.20,0.9918,0.0100,0.9913,0.0106,1.0000,0.0000
cnn_only,0.30,0.7918,0.0523,0.7909,0.0515,1.0000,0.0000
cnn_only,0.50,0.5184,0.0100,0.4946,0.0127,0.9903,0.0093
pose_only,0.00,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
pose_only,0.05,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
pose_only,0.10,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
pose_only,0.20,0.9959,0.0082,0.9957,0.0087,1.0000,0.0000
pose_only,0.30,0.9837,0.0153,0.9827,0.0161,1.0000,0.0000
pose_only,0.50,0.9143,0.0327,0.9117,0.0327,1.0000,0.0000
